Calendar Year Employed,Employment Type,Job Title,Division Name,Regular Pay,Overtime Pay,Lump-Sum Pay,Assignment and  Incentive Pay,Skill Pay,Outside Employer Pay,Other Pay,Retirement Contribution,City Paid Deferred Compensation,Health Benefits Average,Cash-in-Lieu of Medical Benefits,Total
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$2948.80,$3376.63,$0.00,$11.20,$0.00,$0.00,$0.00,$516.25,,$12348.35,,$19201.22
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$2948.80,$3224.39,$0.00,$11.20,$0.00,$0.00,$4.00,$516.25,,$12348.35,,$19052.98
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$2948.80,$2935.54,$0.00,$11.20,$0.00,$0.00,$0.00,$516.25,,$12348.35,,$18760.13
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$2948.80,$2947.13,$0.00,$11.20,$0.00,$0.00,$0.00,$516.25,$0.00,$1123.02,$300.00,$7846.39
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$2948.80,$3156.53,$0.00,$11.20,$25.50,$0.00,$0.00,$520.71,,$12348.35,,$19011.09
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$2948.80,$3352.33,$0.00,$11.20,$0.00,$0.00,$0.00,$516.25,,$12348.35,,$19176.92
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$2948.80,$3338.80,$0.00,$11.20,$0.00,$0.00,$4.00,$516.25,,$12348.35,,$19167.39
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$552.80,$110.56,$0.00,$0.00,$0.00,$0.00,$0.00,$96.78,,,,$760.14
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$552.80,$110.56,$0.00,$0.00,$0.00,$0.00,$0.00,$96.78,,,,$760.14
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$552.80,$110.56,$0.00,$0.00,$0.00,$0.00,$0.00,$96.78,,,,$760.14
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$552.80,$110.56,$0.00,$0.00,$0.00,$0.00,$0.00,$96.78,,,,$760.14
2012,Permanent,Motor Coach Operator Trainee,Transit Operations - MCO,$552.80,$110.56,$0.00,$0.00,$0.00,$0.00,$0.00,$96.78,,,,$760.14
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$276.40,$338.59,$0.00,$0.00,$0.00,$0.00,$0.00,$48.39,,,,$663.38
2012,Permanent,Budget Office Coordinator,Rent Control - Hearings,$110176.60,$4971.63,$6045.51,$5805.06,$0.00,$0.00,$1496.12,$30362.75,$6500.09,$12348.35,,$177706.11
2012,Permanent,Permit Specialist,Civil Engineering,$65601.26,$0.00,$2924.12,$0.00,$0.00,$0.00,$748.32,$17216.87,$600.08,$12348.35,,$99438.99
2012,Permanent,Maintenance Manager,Custodial Services,$5771.54,$0.00,$36360.69,$0.00,$0.00,$0.00,$0.00,$1519.70,,,,$43651.93
2012,Permanent,Dir of Community/Cultural Svs,CCS -Admin & Planning Services,$191203.01,$0.00,$11604.32,$0.00,$0.00,$0.00,$9315.00,$52612.76,,$12348.35,,$277083.44
2012,Permanent,Pr Planner,City Planning/Developmt Review,$134719.41,$0.00,$9463.18,$0.00,$0.00,$0.00,$11.00,$35356.64,,$12348.35,,$191898.58
2012,Permanent,Staff Assistant III,Transit Operations,$58385.55,$0.00,$3322.39,$0.00,$0.00,$0.00,$621.70,$15323.13,$600.08,$12348.35,,$90601.19
2012,Permanent,Video Production Coord II,Community & Govt Relations-Cbl,$82558.87,$0.00,$4924.55,$0.00,$0.00,$0.00,$876.25,$21669.12,$600.08,$12348.35,,$122977.22
2012,Permanent,Deputy City Attorney III,City Attorney,$6536.57,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2988.65,,,,$9525.22
2012,Permanent,Police Lieutenant,Police - Operations,$79979.07,$0.00,$32316.09,$39474.96,$0.00,$0.00,$6298.58,$57209.44,,$12348.35,,$227626.48
2012,Permanent,Legal Admin Staff Asst,City Attorney,$98356.63,$0.00,$7321.22,$0.00,$1200.00,$0.00,$7016.18,$27948.24,,$12348.35,,$154190.62
2012,Permanent,Police Records Technician,Police Administrative Services,$58603.52,$52.60,$0.00,$0.00,$0.00,$0.00,$1188.79,$15537.37,,$12348.35,,$87730.63
2012,Permanent,Council Office Coordinator,City Council,$87201.21,$0.00,$5210.58,$0.00,$600.00,$0.00,$0.00,$23043.25,,$12348.35,,$128403.38
