HydrantID,ValveID,Valve Angle,Longitude,Latitude,Location 1
1733,16-130,351,-118.4581988,34.02139801,"(34.02139801, -118.45819880)"
1740,18-35,179,-118.47906775,34.03218992,"(34.03218992, -118.47906775)"
1742,21-33,180,-118.47307326,34.03974737,"(34.03974737, -118.47307326)"
1743,3-126,270,-118.49380011,34.01512187,"(34.01512187, -118.49380011)"
1744,4-223,178,-118.4888788,34.00599749,"(34.00599749, -118.48887880)"
1745,1-79,182,-118.51077426,34.0260815,"(34.02608150, -118.51077426)"
1746,6-187,269,-118.47261766,34.01010943,"(34.01010943, -118.47261766)"
1748,16-72,91,-118.45455493,34.01749922,"(34.01749922, -118.45455493)"
1749,16-71,81,-118.45518092,34.01817604,"(34.01817604, -118.45518092)"
1750,16-70,81,-118.45566465,34.01878469,"(34.01878469, -118.45566465)"
1751,13-99,15,-118.48013413,34.02581115,"(34.02581115, -118.48013413)"
1753,10-38,25,-118.50554138,34.03301138,"(34.03301138, -118.50554138)"
1755,1-71,0,-118.50654555,34.02284626,"(34.02284626, -118.50654555)"
1756,20-6,0,-118.49807189,34.04529574,"(34.04529574, -118.49807189)"
1757,15-145,80,-118.46744247,34.01316403,"(34.01316403, -118.46744247)"
1758,15-147,350,-118.46690057,34.013556,"(34.01355600, -118.46690057)"
1759,15-151,351,-118.46746625,34.01429912,"(34.01429912, -118.46746625)"
1760,12-16,360,-118.48983639,34.03377601,"(34.03377601, -118.48983639)"
1762,16-61,351,-118.45859872,34.01713589,"(34.01713589, -118.45859872)"
1763,16-132,346,-118.45919454,34.02088171,"(34.02088171, -118.45919454)"
1764,16-137,351,-118.46032773,34.02034643,"(34.02034643, -118.46032773)"
1766,16-147,259,-118.46043594,34.02057765,"(34.02057765, -118.46043594)"
1767,16-148,263,-118.45933796,34.02108177,"(34.02108177, -118.45933796)"
1768,18-44,179,-118.47986089,34.0315387,"(34.03153870, -118.47986089)"
1769,1-36A,314,-118.51518367,34.02686897,"(34.02686897, -118.51518367)"
1772,2-64,270,-118.50050113,34.02014157,"(34.02014157, -118.50050113)"
1779,6-3B,270,-118.47717166,34.0074151,"(34.00741510, -118.47717166)"
1780,6-11C,181,-118.47191579,34.00341475,"(34.00341475, -118.47191579)"
1781,6-109,349,-118.4724414,34.00547901,"(34.00547901, -118.47244140)"
1787,22-115,90,-118.46506089,34.03626656,"(34.03626656, -118.46506089)"
1788,23-53,140,-118.46209005,34.03055876,"(34.03055876, -118.46209005)"
1790,10-93A,180,-118.5005727,34.0338719,"(34.03387190, -118.50057270)"
1791,14-209,263,-118.47284612,34.01550675,"(34.01550675, -118.47284612)"
1793,5-167,3,-118.4756109,34.00202117,"(34.00202117, -118.47561090)"
1798,24-130,348,-118.45073807,34.01843486,"(34.01843486, -118.45073807)"
1799,24-126,82,-118.45193002,34.02038231,"(34.02038231, -118.45193002)"
868,16-118,351,-118.4644093,34.01827424,"(34.01827424, -118.46440930)"
157,24-66A,352,-118.45324157,34.02427962,"(34.02427962, -118.45324157)"
1362,3-11,0,-118.4960211,34.01062734,"(34.01062734, -118.49602110)"
151,13-95,0,-118.48108366,34.02505821,"(34.02505821, -118.48108366)"
152,13-93,0,-118.48204854,34.02430158,"(34.02430158, -118.48204854)"
154,13-89,0,-118.48394308,34.02275551,"(34.02275551, -118.48394308)"
1163,14-17,271,-118.47792692,34.02364416,"(34.02364416, -118.47792692)"
1036,21-50,109,-118.47698742,34.04470222,"(34.04470222, -118.47698742)"
888,21-49,132,-118.47914979,34.04518712,"(34.04518712, -118.47914979)"
1560,20-61,272,-118.48993377,34.04655482,"(34.04655482, -118.48993377)"
1561,20-88,272,-118.48889562,34.04567343,"(34.04567343, -118.48889562)"
1568,20-121,359,-118.48709046,34.0440064,"(34.04400640, -118.48709046)"
1572,20-186,270,-118.48515259,34.04246772,"(34.04246772, -118.48515259)"
1571,20-218,180,-118.48399367,34.0413887,"(34.04138870, -118.48399367)"
135,4-162,176,-118.48882356,34.00732943,"(34.00732943, -118.48882356)"
1401,4-35,23,-118.48331684,34.01080119,"(34.01080119, -118.48331684)"
682,14-67,270,-118.47340192,34.02286953,"(34.02286953, -118.47340192)"
1176,15-101,78,-118.46211739,34.01264292,"(34.01264292, -118.46211739)"
1177,15-120,81,-118.46280013,34.01345133,"(34.01345133, -118.46280013)"
155,17-124B,0,-118.46611557,34.02614189,"(34.02614189, -118.46611557)"
1482,17-5,261,-118.46362125,34.02071777,"(34.02071777, -118.46362125)"
180,18-17,180,-118.47666948,34.03415587,"(34.03415587, -118.47666948)"
1011,23-138,166,-118.45817845,34.02656768,"(34.02656768, -118.45817845)"
105,4-31,0,-118.48657999,34.01232509,"(34.01232509, -118.48657999)"
110,18-171A,0,-118.47245481,34.02943382,"(34.02943382, -118.47245481)"
111,18-171B,0,-118.47183251,34.02994119,"(34.02994119, -118.47183251)"
112,18-174A,262,-118.47063472,34.02993704,"(34.02993704, -118.47063472)"
768,19-36,2,-118.48699498,34.03609445,"(34.03609445, -118.48699498)"
144,5-198,174,-118.47645183,34.00483679,"(34.00483679, -118.47645183)"
819,13-28A,270,-118.48430955,34.02679737,"(34.02679737, -118.48430955)"
1683,13-27A,0,-118.4848815,34.0272398,"(34.02723980, -118.48488150)"
109,16-40A,349,-118.4570967,34.01440684,"(34.01440684, -118.45709670)"
1393,4-58,177,-118.48195283,34.00966566,"(34.00966566, -118.48195283)"
333,6-113,264,-118.47093876,34.00543583,"(34.00543583, -118.47093876)"
139,4-144,269,-118.48808886,34.00884412,"(34.00884412, -118.48808886)"
136,4-123,92,-118.48663842,34.00762761,"(34.00762761, -118.48663842)"
1778,5-105A,62,-118.48215059,34.0031793,"(34.00317930, -118.48215059)"
1481,5-107,53,-118.48091555,34.00194826,"(34.00194826, -118.48091555)"
1585,24-60,261,-118.45210424,34.0229644,"(34.02296440, -118.45210424)"
95,4-203,90,-118.49132341,34.00856585,"(34.00856585, -118.49132341)"
142,4-204,93,-118.49043967,34.00781572,"(34.00781572, -118.49043967)"
1097,23-62,329,-118.45763245,34.0295253,"(34.02952530, -118.45763245)"
912,3-31A,270,-118.49491215,34.01124307,"(34.01124307, -118.49491215)"
913,21-38,277,-118.4739914,34.04063271,"(34.04063271, -118.47399140)"
149,13-36A,89,-118.48639439,34.02637315,"(34.02637315, -118.48639439)"
917,18-61,267,-118.47389221,34.03441488,"(34.03441488, -118.47389221)"
919,18-58,272,-118.47306225,34.03507522,"(34.03507522, -118.47306225)"
1467,23-96A,329,-118.45845181,34.02759153,"(34.02759153, -118.45845181)"
993,23-77,235,-118.46264435,34.02846406,"(34.02846406, -118.46264435)"
1664,6-82A,353,-118.47280047,34.00883872,"(34.00883872, -118.47280047)"
1665,3-203A,86,-118.48946009,34.01712165,"(34.01712165, -118.48946009)"
1553,20-44,269,-118.49484538,34.0466018,"(34.04660180, -118.49484538)"
1800,1-28,90,-118.51053778,34.02458745,"(34.02458745, -118.51053778)"
