Title,Order,Link,Icon,Description
Permits & Licenses ,2,/browse?category=Permits+%26+Licenses,,
Finance,1,/browse?category=Finance,,
Public Safety,4,/browse?category=Public+Safety,&#x1F512;,
Public Assets,3,/browse?category=Public+Assets,&#x1F333;,
Public Services,5,/browse?category=Public+Services,&#x1F3E6;,
Transportation,6,/browse?category=Transportation,&#x1F68D;,
